"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"GE";"General Electric";"Industrials";12.85;-0.46475184;40485451;-0.623;0.04
"GILD";"Gilead Sciences";"Health Care";67.76;-1.782861;12858696;4.22;2.52
"GIS";"General Mills";"Consumer Staples";52.76;0.76393753;2673597;3.479;1.96
"GL";"Globe Life Inc.";"Financials";109.44;0.5974828;416974;6.83;0.69
"GLW";"Corning Inc.";"Information Technology";28.04;1.704756;5214600;1.068;0.8
"GM";"General Motors";"Consumer Discretionary";35.01;2.2189732;12299305;4.57;1.52
"GOOG";"Alphabet Inc Class C";"Communication Services";1508.79;0.0072901705;1344633;49.163;NA
"GOOGL";"Alphabet Inc Class A";"Communication Services";1510.06;0.0927992;1659159;49.163;NA
"GPC";"Genuine Parts";"Consumer Discretionary";95.71;0.5991168;478470;5.449;3.007
"GPN";"Global Payments Inc.";"Information Technology";203.18;-0.7134513;1976968;2.481;0.04
"GPS";"Gap Inc.";"Consumer Discretionary";17.63;-0.16987932;4321027;2.143;0.97
"GRMN";"Garmin Ltd.";"Consumer Discretionary";98.04;0.33773598;429265;4.1;2.28
"GS";"Goldman Sachs Group";"Financials";236.46;-0.3791683;2040335;21.03;4.15
"GWW";"Grainger (W.W.) Inc.";"Industrials";300.87;0.90551746;213020;15.337;5.68
"HAL";"Halliburton Co.";"Energy";21.73;1.5420557;12587161;-1.293;0.72
"HAS";"Hasbro Inc.";"Consumer Discretionary";100.1;-0.79286724;4045936;2.06;2.67
"HBAN";"Huntington Bancshares";"Financials";14.03;0.717871;5115005;1.27;0.58
"HBI";"Hanesbrands Inc";"Consumer Discretionary";14.35;3.3117354;16118393;1.64;0.6
"HCA";"HCA Healthcare";"Health Care";149.56;1.9634614;1212955;10.065;1.6
"HD";"Home Depot";"Consumer Discretionary";241.64;0.42807814;2600311;10.043;5.44
"HES";"Hess Corporation";"Energy";56.16;2.2020001;1747485;-1.37;1
"HFC";"HollyFrontier Corp";"Energy";44.45;2.4429624;1295311;4.992;1.32
"HIG";"Hartford Financial Svc.Gp.";"Financials";59.48;0.8135585;1726894;5.66;1.2
